participant_ID,text_file,error,recall
ILA1_I,./data/processed/exercises/ILA1_I_E01.txt,cuando empecé la universidad me mudé (en) [a] Siena para estudiar idiomas / Me gustaría pensar (a) [en] esta asignatura como si fuera,0
ILA1_I,./data/processed/exercises/ILA1_I_E02.txt,ahora estoy en el (tercero) [tercer] y último año de Mediación Lingüística,0
ILA1_I,./data/processed/exercises/ILA1_I_E03.txt,aprender (como) [cómo] hacer una traducción,0
ILA1_I,./data/processed/exercises/ILA1_I_E04.txt,punto de (partido) [partida],1
ILA1_I,./data/processed/exercises/ILA1_I_E05.txt,La IA puede analizar datos personales de salud y actividad física para ofrecer recomendaciones de entreno personalizadas (sino también) [y] consejos sobre nutrición y prevención de lesiones.,1
ILA1_I,./data/processed/exercises/ILA1_I_E06.txt,"[Además, ] Este curso me ayudó (también) a relacionarme mejor con la lengua en general también en un sentido discursivo, comunicativo y oral también.",0
ILA1_I,./data/processed/exercises/ILA1_I_E07.txt,Mi objetivo es lograr hablar y hacer (dibujos) [esquemas] sobre temas importantes de la literatura más fluidamente.,0
ILA1_I,./data/processed/exercises/ILA1_I_E08.txt,Es el lugar donde yo (nacì) [nací],1
ILA1_I,./data/processed/exercises/ILA1_I_E09.txt,Una traducción y también (una) [un] análisis (crítica) [crítico] de los textos que tratamos,1
ILA1_I,./data/processed/exercises/ILA1_I_E10.txt,Me defino como una persona muy tímida pero al mismo tiempo muy (solar) [alegre],0
ILA1_I,./data/processed/exercises/ILA1_I_E11.txt,"Ver cómo los autores españoles desarrollan sus pensamientos, como (lo) [los] ponen por escrito",1
ILA1_I,./data/processed/exercises/ILA1_I_E12.txt,"Ver cómo los autores españoles desarrollan sus (pensamiento) [pensamientos], como los ponen por escrito",1
ILA1_I,./data/processed/exercises/ILA1_I_E13.txt,Una (apoplejía) [conmoción] que me vio crecer desde todos los puntos de vista,0
ILA1_I,./data/processed/exercises/ILA1_I_E14.txt,"Puede ser también una imagen simple, una publicidad sin (escritas) [escritos] y sin palabras",1
ILA1_I,./data/processed/exercises/ILA1_I_E15.txt,Me defino [como] una persona muy tímida,0
FGC1_I,./data/processed/exercises/FGC1_I_E01.txt,Un evento (tan) [muy] esperado a principios de año,0
FGC1_I,./data/processed/exercises/FGC1_I_E02.txt,(taréa) [tarea],1
FGC1_I,./data/processed/exercises/FGC1_I_E03.txt,"Este fenómeno ha sido percibido en el mundo entero, (dando lugar a millones de personas cautivadas) [cautivando a millones de personas]",1
FGC1_I,./data/processed/exercises/FGC1_I_E04.txt,Solo se habían producido diez pasos de la sombra de la Luna (sobre) [por delante de] la Tierra durante este siglo,0
FGC1_I,./data/processed/exercises/FGC1_I_E05.txt,(Este) [Ese] eclipse solar total comenzó,0
FGC1_I,./data/processed/exercises/FGC1_I_E06.txt,"Este fenómeno, que se produce al (transitar) [cubrir] la luna (por delante de) el sol",0
FGC1_I,./data/processed/exercises/FGC1_I_E07.txt,Los más afortunados pudieron vivir unos minutos sumergidos en la oscuridad más (total) [absoluta] en pleno día,1
FGC1_I,./data/processed/exercises/FGC1_I_E08.txt,este impresionante (espécimen) [fenómeno] celestial,1
FGC1_I,./data/processed/exercises/FGC1_I_E09.txt,Puede percibir las informaciones más (rápidas) [rápido],0
FGC1_I,./data/processed/exercises/FGC1_I_E10.txt,para (mi) [mí],0
FGC1_I,./data/processed/exercises/FGC1_I_E11.txt,En el programa radiofónico (se ha tratado de) [se han tratado] las ventajas cognitivas de los bilingües,0
FGC1_I,./data/processed/exercises/FGC1_I_E12.txt,"No solo porque estamos en un mundo multicultural, sino (que) también (para hacer trabajar el cerebro) [porque propicia que el cerebro trabaje]",0
FGC1_I,./data/processed/exercises/FGC1_I_E13.txt,(tardar) [retrasar] enfermedades,1
FGC1_I,./data/processed/exercises/FGC1_I_E14.txt,Me parece (coherente) [lógico] que,1
FGC1_I,./data/processed/exercises/FGC1_I_E15.txt,(pues) [así pues],0
