participant_ID,text_file,error,rater_1,rater_2
ABA1_C,./data/processed/exercises/ABA1_C_E01.txt,(submitir) [entregar] el proyecto,productive use of targets,productive use of targets
ABA1_C,./data/processed/exercises/ABA1_C_E02.txt,y (soy) [estoy] en la clase de español,contextual retrieval,contextual retrieval
ABA1_C,./data/processed/exercises/ABA1_C_E03.txt,el (próximo) [siguiente] día de clase,meaning and sense elaboration,meaning and sense elaboration
ABA1_C,./data/processed/exercises/ABA1_C_E04.txt,(proximo) [próximo] / (dia) [día] / (despues) [después] / (ocurrio) [ocurrió],conceptual organization,conceptual organization
ABA1_C,./data/processed/exercises/ABA1_C_E05.txt,(occurió) [ocurrió] / (fonciona) [funciona] / (residence) [residencia],paraphrastic flexibility,paraphrastic flexibility
ABA1_C,./data/processed/exercises/ABA1_C_E06.txt,iba a (darnos) [ponernos] un cero,collocational control,collocational control
ABA1_C,./data/processed/exercises/ABA1_C_E07.txt,(tenia) [tenía] / (el) [él] debía / (esta) [está],"meaning and sense elaboration, productive use of targets","paraphrastic flexibility, meaning and sense elaboration, productive use of targets"
ABA1_C,./data/processed/exercises/ABA1_C_E08.txt,hemos podido solucionar (al) [el] problema,contextual retrieval,contextual retrieval
ABA1_C,./data/processed/exercises/ABA1_C_E09.txt,su (telefona) [teléfono] estaba roto,"pragmatic appropriateness, meaning and sense elaboration","pragmatic appropriateness, meaning and sense elaboration"
ABA1_C,./data/processed/exercises/ABA1_C_E10.txt,cada persona (en) [de] mi grupo / estaba (en) [a] cargo de algo,productive use of targets,productive use of targets
ABA1_C,./data/processed/exercises/ABA1_C_E11.txt,pero ella (digo) [dijo],"conceptual organization, meaning and sense elaboration","conceptual organization, meaning and sense elaboration"
ABA1_C,./data/processed/exercises/ABA1_C_E12.txt,dos (horais) [horas] antes del vencimiento del proyecto,"conceptual organization, meaning and sense elaboration","conceptual organization, meaning and sense elaboration"
ABA1_C,./data/processed/exercises/ABA1_C_E13.txt,un proyecto en grupo que valía [el] 55% de la nota final,contextual retrieval,contextual retrieval
ABA1_C,./data/processed/exercises/ABA1_C_E14.txt,un proyecto en grupo que (era) [valía] el 55% de la nota final,contextual retrieval,contextual retrieval
ABA1_C,./data/processed/exercises/ABA1_C_E15.txt,la profesora nos había (dado) [asignado] un proyecto en grupo,collocational control,collocational control
ABJ1_D,./data/processed/exercises/ABJ1_D_E01.txt,porque tenía la (oportunidad) [opción] de escribirles,"productive use of targets, meaning and sense elaboration","productive use of targets, meaning and sense elaboration"
ABJ1_D,./data/processed/exercises/ABJ1_D_E02.txt,(aerobics) [aeróbic],paraphrastic flexibility,paraphrastic flexibility
ABJ1_D,./data/processed/exercises/ABJ1_D_E03.txt,toco la flauta desde (hace) [que] tengo ocho años,productive use of targets,productive use of targets
ABJ1_D,./data/processed/exercises/ABJ1_D_E04.txt,me han ayudado mucho (para) [a] mejorar,productive use of targets,productive use of targets
ABJ1_D,./data/processed/exercises/ABJ1_D_E05.txt,los exámenes siempre (están) [son] evaluados por los profesores,meaning and sense elaboration,meaning and sense elaboration
ABJ1_D,./data/processed/exercises/ABJ1_D_E06.txt,en cuanto (en) [a] sus conocimientos lingüísticos,contextual retrieval,contextual retrieval
ABJ1_D,./data/processed/exercises/ABJ1_D_E07.txt,ver cómo la persona (se) ha mejorado en cuanto a / también los demás estudiantes [se] pueden evaluar entre ellos,meaning and sense elaboration,meaning and sense elaboration
ABJ1_D,./data/processed/exercises/ABJ1_D_E08.txt,como ya dije (anterior) [anteriormente],productive use of targets,contextual retrieval
ABJ1_D,./data/processed/exercises/ABJ1_D_E09.txt,y (yo) siempre dije que había pagado,"paraphrastic flexibility, meaning and sense elaboration, productive use of targets","paraphrastic flexibility, meaning and sense elaboration, productive use of targets"
