participant_ID,text_file,error,goal_aligned,relevant_goals,interesting_content,ownership,understanding,positive_emotion
ILA1_I,./data/processed/exercises/ILA1_I_E01.txt,cuando empecé la universidad me mudé (en) [a] Siena para estudiar idiomas / Me gustaría pensar (a) [en] esta asignatura como si fuera,1,1,1,1,1,1
ILA1_I,./data/processed/exercises/ILA1_I_E02.txt,ahora estoy en el (tercero) [tercer] y último año de Mediación Lingüística,1,1,1,1,1,1
ILA1_I,./data/processed/exercises/ILA1_I_E03.txt,aprender (como) [cómo] hacer una traducción,1,1,1,1,1,1
ILA1_I,./data/processed/exercises/ILA1_I_E04.txt,punto de (partido) [partida],0,1,1,0,1,1
ILA1_I,./data/processed/exercises/ILA1_I_E05.txt,La IA puede analizar datos personales de salud y actividad física para ofrecer recomendaciones de entreno personalizadas (sino también) [y] consejos sobre nutrición y prevención de lesiones.,0,1,1,1,1,1
ILA1_I,./data/processed/exercises/ILA1_I_E06.txt,"[Además, ] Este curso me ayudó (también) a relacionarme mejor con la lengua en general también en un sentido discursivo, comunicativo y oral también.",1,1,1,1,1,1
ILA1_I,./data/processed/exercises/ILA1_I_E07.txt,Mi objetivo es lograr hablar y hacer (dibujos) [esquemas] sobre temas importantes de la literatura más fluidamente.,1,1,1,1,1,1
ILA1_I,./data/processed/exercises/ILA1_I_E08.txt,Es el lugar donde yo (nacì) [nací],1,1,1,1,1,1
ILA1_I,./data/processed/exercises/ILA1_I_E09.txt,Una traducción y también (una) [un] análisis (crítica) [crítico] de los textos que tratamos,1,1,1,1,1,1
ILA1_I,./data/processed/exercises/ILA1_I_E10.txt,Me defino como una persona muy tímida pero al mismo tiempo muy (solar) [alegre],1,1,1,1,1,1
ILA1_I,./data/processed/exercises/ILA1_I_E11.txt,"Ver cómo los autores españoles desarrollan sus pensamientos, como (lo) [los] ponen por escrito",1,1,1,1,1,0
ILA1_I,./data/processed/exercises/ILA1_I_E12.txt,"Ver cómo los autores españoles desarrollan sus (pensamiento) [pensamientos], como los ponen por escrito",1,1,1,1,1,1
ILA1_I,./data/processed/exercises/ILA1_I_E13.txt,Una (apoplejía) [conmoción] que me vio crecer desde todos los puntos de vista,1,0,1,1,1,1
ILA1_I,./data/processed/exercises/ILA1_I_E14.txt,"Puede ser también una imagen simple, una publicidad sin (escritas) [escritos] y sin palabras",1,1,1,1,1,1
ILA1_I,./data/processed/exercises/ILA1_I_E15.txt,Me defino [como] una persona muy tímida,0,0,0,1,0,1
FGC1_I,./data/processed/exercises/FGC1_I_E01.txt,Un evento (tan) [muy] esperado a principios de año,0,1,0,0,1,1
FGC1_I,./data/processed/exercises/FGC1_I_E02.txt,(taréa) [tarea],1,1,0,0,1,1
FGC1_I,./data/processed/exercises/FGC1_I_E03.txt,"Este fenómeno ha sido percibido en el mundo entero, (dando lugar a millones de personas cautivadas) [cautivando a millones de personas]",1,1,1,0,1,1
FGC1_I,./data/processed/exercises/FGC1_I_E04.txt,Solo se habían producido diez pasos de la sombra de la Luna (sobre) [por delante de] la Tierra durante este siglo,1,1,1,0,1,1
FGC1_I,./data/processed/exercises/FGC1_I_E05.txt,(Este) [Ese] eclipse solar total comenzó,0,1,0,0,1,1
FGC1_I,./data/processed/exercises/FGC1_I_E06.txt,"Este fenómeno, que se produce al (transitar) [cubrir] la luna (por delante de) el sol",1,1,1,0,1,1
FGC1_I,./data/processed/exercises/FGC1_I_E07.txt,Los más afortunados pudieron vivir unos minutos sumergidos en la oscuridad más (total) [absoluta] en pleno día,1,1,1,0,1,1
FGC1_I,./data/processed/exercises/FGC1_I_E08.txt,este impresionante (espécimen) [fenómeno] celestial,1,1,1,0,1,1
FGC1_I,./data/processed/exercises/FGC1_I_E09.txt,Puede percibir las informaciones más (rápidas) [rápido],1,1,1,0,0,1
FGC1_I,./data/processed/exercises/FGC1_I_E10.txt,para (mi) [mí],0,1,0,0,1,1
FGC1_I,./data/processed/exercises/FGC1_I_E11.txt,En el programa radiofónico (se ha tratado de) [se han tratado] las ventajas cognitivas de los bilingües,1,1,1,0,1,1
FGC1_I,./data/processed/exercises/FGC1_I_E12.txt,"No solo porque estamos en un mundo multicultural, sino (que) también (para hacer trabajar el cerebro) [porque propicia que el cerebro trabaje]",1,1,1,0,1,1
FGC1_I,./data/processed/exercises/FGC1_I_E13.txt,(tardar) [retrasar] enfermedades,0,1,1,1,1,1
FGC1_I,./data/processed/exercises/FGC1_I_E14.txt,Me parece (coherente) [lógico] que,0,1,0,1,1,1
FGC1_I,./data/processed/exercises/FGC1_I_E15.txt,(pues) [así pues],0,1,0,0,1,1
RCS1_I,./data/processed/exercises/RCS1_I_E01.txt,una nueva flexibilidad y autonomía (ha) [han] mejorado,1,1,0,1,1,1
RCS1_I,./data/processed/exercises/RCS1_I_E02.txt,(adoptar) [encontrar] un equilibrio,1,1,1,1,1,1
RCS1_I,./data/processed/exercises/RCS1_I_E03.txt,(articulo) [artículo],0,1,0,1,1,1
RCS1_I,./data/processed/exercises/RCS1_I_E04.txt,¿(Sólo) [Solo] una tendencia o una nueva normalidad?,1,1,0,1,1,1
RCS1_I,./data/processed/exercises/RCS1_I_E05.txt,implicaciones (éticos) [éticas],1,1,0,1,1,1
RCS1_I,./data/processed/exercises/RCS1_I_E06.txt,avances (a la) [en] tecnología,1,1,1,1,1,1
RCS1_I,./data/processed/exercises/RCS1_I_E07.txt,(esta) [está] dedicada,1,1,1,0,1,1
RCS1_I,./data/processed/exercises/RCS1_I_E08.txt,"(También,) [Además, ] menciona los principios",1,1,1,1,1,1
RCS1_I,./data/processed/exercises/RCS1_I_E09.txt,(introduce) [implica] nuevos retos,1,1,1,1,0,1
RCS1_I,./data/processed/exercises/RCS1_I_E10.txt,A menudo (se) denominado teletrabajo,1,1,0,1,1,1
RCS1_I,./data/processed/exercises/RCS1_I_E11.txt,(éticos médicas) [ética médica],0,1,0,1,1,1
RCS1_I,./data/processed/exercises/RCS1_I_E12.txt,(producirá una regresión) [volverá],0,1,0,1,0,1
RCS1_I,./data/processed/exercises/RCS1_I_E13.txt,los retos y (limitantes) [limitaciones] de la pandemia,1,1,0,1,1,0
RCS1_I,./data/processed/exercises/RCS1_I_E14.txt,según (de) una encuesta,1,1,0,1,1,1
RCS1_I,./data/processed/exercises/RCS1_I_E15.txt,(violación) [filtración] de datos,1,1,1,1,1,1
RUE1_I,./data/processed/exercises/RUE1_I_E01.txt,"(También,) [Además, ]",1,1,1,0,1,1
RUE1_I,./data/processed/exercises/RUE1_I_E02.txt,problemas (de) [en] la relación,0,1,1,1,1,1
RUE1_I,./data/processed/exercises/RUE1_I_E03.txt,las tendencias (mostraron) [se detectaron] en ambos sexos,0,1,1,1,1,1
RUE1_I,./data/processed/exercises/RUE1_I_E04.txt,la intensidad y la cantidad de ejercicios (necesarias) [necesarios],0,1,1,1,1,1
RUE1_I,./data/processed/exercises/RUE1_I_E05.txt,(uno de los críticos) [una de las críticas],1,1,1,0,1,1
RUE1_I,./data/processed/exercises/RUE1_I_E06.txt,una de las [mayores] críticas (mayores),1,0,0,1,1,1
RUE1_I,./data/processed/exercises/RUE1_I_E07.txt,las muchas (de) variables que pueden tener impacto,1,1,1,1,1,1
RUE1_I,./data/processed/exercises/RUE1_I_E08.txt,toda mi familia (son escoceses) [es escocesa],0,1,1,1,1,1
RUE1_I,./data/processed/exercises/RUE1_I_E09.txt,(auto declarados) [autodeclarados],1,1,1,1,1,1
RUE1_I,./data/processed/exercises/RUE1_I_E10.txt,a un nivel mucho más alto [del] que puedo hablar,0,0,1,1,1,1
RUE1_I,./data/processed/exercises/RUE1_I_E11.txt,la mayor fuente de investigación (llega al) [proviene del] cuestionario,0,1,1,1,1,1
RUE1_I,./data/processed/exercises/RUE1_I_E12.txt,al finalizar (de) este periodo,0,0,0,1,1,1
RUE1_I,./data/processed/exercises/RUE1_I_E13.txt,manifestarse (en forma oral) [oralmente],1,1,1,1,1,0
RUE1_I,./data/processed/exercises/RUE1_I_E14.txt,reacciones (en persona) [cara a cara],1,1,1,1,1,1
RUE1_I,./data/processed/exercises/RUE1_I_E15.txt,países como (en) [los de] América Latina,0,1,1,1,1,1
RGH1_I,./data/processed/exercises/RGH1_I_E01.txt,"(También,) [Además, ]",0,1,1,0,1,1
