text_file,error,A01,A02,A03
./data/processed/exercises/ILA1_I_E01.txt,cuando empecé la universidad me mudé (en) [a] Siena para estudiar idiomas / Me gustaría pensar (a) [en] esta asignatura como si fuera,Substitution,Government,Government
./data/processed/exercises/ILA1_I_E02.txt,ahora estoy en el (tercero) [tercer] y último año de Mediación Lingüística,Substitution,Substitution,Substitution
./data/processed/exercises/ILA1_I_E03.txt,aprender (como) [cómo] hacer una traducción,Substitution,Substitution,Substitution
./data/processed/exercises/ILA1_I_E04.txt,punto de (partido) [partida],Substitution,Substitution,Substitution
./data/processed/exercises/ILA1_I_E05.txt,La IA puede analizar datos personales de salud y actividad física para ofrecer recomendaciones de entreno personalizadas (sino también) [y] consejos sobre nutrición y prevención de lesiones.,Substitution,Substitution,Substitution
./data/processed/exercises/ILA1_I_E06.txt,"[Además, ] Este curso me ayudó (también) a relacionarme mejor con la lengua en general también en un sentido discursivo, comunicativo y oral también.",Substitution,Substitution,Substitution
./data/processed/exercises/ILA1_I_E07.txt,Mi objetivo es lograr hablar y hacer (dibujos) [esquemas] sobre temas importantes de la literatura más fluidamente.,Substitution,Substitution,Substitution
./data/processed/exercises/ILA1_I_E08.txt,Es el lugar donde yo (nacì) [nací],Creation,Creation,Creation
./data/processed/exercises/ILA1_I_E09.txt,Una traducción y también (una) [un] análisis (crítica) [crítico] de los textos que tratamos,Gender,Gender,Gender
./data/processed/exercises/ILA1_I_E10.txt,Me defino como una persona muy tímida pero al mismo tiempo muy (solar) [alegre],Substitution,Substitution,Substitution
./data/processed/exercises/ILA1_I_E11.txt,"Ver cómo los autores españoles desarrollan sus pensamientos, como (lo) [los] ponen por escrito",Number,Number,Number
./data/processed/exercises/ILA1_I_E12.txt,"Ver cómo los autores españoles desarrollan sus (pensamiento) [pensamientos], como los ponen por escrito",Number,Number,Number
./data/processed/exercises/ILA1_I_E13.txt,Una (apoplejía) [conmoción] que me vio crecer desde todos los puntos de vista,Substitution,Substitution,Substitution
./data/processed/exercises/ILA1_I_E14.txt,"Puede ser también una imagen simple, una publicidad sin (escritas) [escritos] y sin palabras",Substitution,Substitution,Substitution
./data/processed/exercises/ILA1_I_E15.txt,Me defino [como] una persona muy tímida,Ellipsis,Ellipsis,Ellipsis
./data/processed/exercises/FGC1_I_E01.txt,Un evento (tan) [muy] esperado a principios de año,Substitution,Substitution,Substitution
./data/processed/exercises/FGC1_I_E02.txt,(taréa) [tarea],Creation,Creation,Creation
