term,mean_a,q5_a,q95_a,mean_b,q5_b,q95_b,delta_mean,or_a,or_b,delta_or,same_sign,a_excludes_zero,b_excludes_zero,changed_support,model_a,model_b
fmt_matching,1.17906970753632,0.10801369450000003,2.1374555049999997,0.9505179916801625,-0.26884076,2.049252055,-0.2285517158561574,3.251348090897562,2.587049382359427,-0.6642987085381349,TRUE,TRUE,FALSE,TRUE,glmm_informed,generic_weak
Intercept,2.3996149510143248,0.578445858,4.270854764999999,2.274529120238675,0.3733560685,4.23237129,-0.12508583077564994,11.018932734815508,9.723339410682598,-1.2955933241329092,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
prof_level1,-1.14132657343355,-1.86876783,-0.40643366250000007,-1.0493062167505174,-1.83640756,-0.265563429,0.09202035668303266,0.3193950396823129,0.35018061429800795,0.030785574615695033,TRUE,TRUE,TRUE,FALSE,glmm_informed,generic_weak
fmt_metalinguistic_reflection,0.480201526444502,-0.10422124449999998,1.080228155,0.4009089101420275,-0.286782482,1.070014825,-0.07929261630247447,1.616400116740163,1.4931812486371736,-0.12321886810298932,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
goal_collocational_control,-0.3239377987368718,-1.209816405,0.5362888514999998,-0.39404681443859,-1.30704094,0.531201162,-0.07010901570171824,0.7232952308576318,0.6743224874728332,-0.04897274338479862,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
fmt_cloze,0.3872081755924651,-0.35244288199999996,1.1739839149999995,0.32122846549851997,-0.47288904549999994,1.1003382949999994,-0.06597971009394515,1.472863073503506,1.3788205578378177,-0.09404251566568833,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
goal_pragmatic_appropriateness,-0.4319259177450812,-1.91945111,1.0565308049999997,-0.36624789693423,-1.85717903,1.1482376599999995,0.06567802081085122,0.6492574733612198,0.693330905298571,0.04407343193735125,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
fmt_vocabulary_extraction_and_list_creation,-0.5389288884926817,-2.401005175,1.2451425850000002,-0.6012614689100825,-2.494375135,1.2361944749999993,-0.06233258041740075,0.5833727751400292,0.5481197637570719,-0.03525301138295722,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
fmt_paradigmatic_systematization,0.07833098378344,-0.7991547449999999,0.9758331304999986,0.13721144954552703,-0.7908359174999999,1.0812705949999997,0.058880465762087025,1.0814805519631834,1.1470706704508729,0.06559011848768947,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
goal_contextual_retrieval,-0.07893972197817749,-0.7122988054999999,0.5617566754999991,-0.022387445800767753,-0.708905921,0.6462447904999998,0.05655227617740974,0.9240956254225728,0.9778612933944146,0.05376566797184179,TRUE,FALSE,FALSE,FALSE,glmm_informed,generic_weak
