participant_ID,text_file,age,sex,country,background,languages_spoken,level,error,error_type,gram_cat,exercise_type,exercise_format,why_solve,overall_usefulness_score,search,external_source,interference,l1_comparison,l2_comparison,productive_metalinguistic,receptive_explanation,examples,images,focused,productive_retrieval,recall,retrieval,multiple_retrievals,spaced_retrievals,option_comparison,sentence_creation,composition_creation,complete,exercise_score,evaluation_score,understanding,belief,recognition_imm,correction_imm,overall_score_imm,recognition_del,correction_del,overall_score_del,overall_experience_score,time_invested
ILA1_I,./data/processed/exercises/ILA1_I_E01.txt,20,F,Italy,Language and Literature,3,Intermediate,cuando empecé la universidad me mudé (en) [a] Siena para estudiar idiomas / Me gustaría pensar (a) [en] esta asignatura como si fuera,Government,Preposition / Preposition,5E,Multiple choice,to learn from my mistakes,4,1,1,1,0,0,1,0,0,0,0,0,0,1,1,1,1,0,0,0,7.8,4,1,useful,0,0,5.33,1,1,6,4,180
ILA1_I,./data/processed/exercises/ILA1_I_E02.txt,20,F,Italy,Language and Literature,3,Intermediate,ahora estoy en el (tercero) [tercer] y último año de Mediación Lingüística,Substitution,Adjective,5E,Reorder,to learn from my mistakes,4,0,1,1,0,1,0,1,1,0,0,0,0,1,0,0,1,1,0,1,9,4,1,useful,1,1,5.33,1,1,6,4,180
ILA1_I,./data/processed/exercises/ILA1_I_E03.txt,20,F,Italy,Language and Literature,3,Intermediate,aprender (como) [cómo] hacer una traducción,Substitution,Adverb,"2L, 2M, 5E","Matching, writing",to learn from my mistakes,4,0,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,0,1,10,4,1,useful,1,1,5.33,1,1,6,4,180
ILA1_I,./data/processed/exercises/ILA1_I_E04.txt,20,F,Italy,Language and Literature,3,Intermediate,punto de (partido) [partida],Substitution,Noun,2F,"Binary choice, reflection, writing",to learn from my mistakes,4,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,1,1,0,9.29,4,1,useful,1,1,5.33,1,1,6,4,180
ILA1_I,./data/processed/exercises/ILA1_I_E05.txt,20,F,Italy,Language and Literature,3,Intermediate,La IA puede analizar datos personales de salud y actividad física para ofrecer recomendaciones de entreno personalizadas (sino también) [y] consejos sobre nutrición y prevención de lesiones.,Substitution,Conjunctive phrase,"2F, 2K","Fill-in-the-blanks, reflection",to learn from my mistakes,4,1,1,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,1,10,4,1,useful,1,1,5.33,0,0,6,4,180
ILA1_I,./data/processed/exercises/ILA1_I_E06.txt,20,F,Italy,Language and Literature,3,Intermediate,"[Además, ] Este curso me ayudó (también) a relacionarme mejor con la lengua en general también en un sentido discursivo, comunicativo y oral también.",Substitution,Adverb,2G,Sentence combining,to learn from my mistakes,4,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,1,1,0,1,10,4,1,useful,0,0,5.33,0,0,6,4,180
ILA1_I,./data/processed/exercises/ILA1_I_E07.txt,20,F,Italy,Language and Literature,3,Intermediate,Mi objetivo es lograr hablar y hacer (dibujos) [esquemas] sobre temas importantes de la literatura más fluidamente.,Substitution,Noun,"2I, 5E",Picture-based writing,to learn from my mistakes,4,0,1,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,1,10,4,1,useful,1,1,5.33,1,1,6,4,180
ILA1_I,./data/processed/exercises/ILA1_I_E08.txt,20,F,Italy,Language and Literature,3,Intermediate,Es el lugar donde yo (nacì) [nací],Creation,Verb,5A,Accent placement exercise,to learn from my mistakes,4,1,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,10,4,1,useful,0,0,5.33,0,0,6,4,180
ILA1_I,./data/processed/exercises/ILA1_I_E09.txt,20,F,Italy,Language and Literature,3,Intermediate,Una traducción y también (una) [un] análisis (crítica) [crítico] de los textos que tratamos,Gender,Noun,1A,Fill-in-the-blanks,to learn from my mistakes,4,1,1,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,9,4,1,useful,0,0,5.33,0,0,6,4,180
ILA1_I,./data/processed/exercises/ILA1_I_E10.txt,20,F,Italy,Language and Literature,3,Intermediate,Me defino como una persona muy tímida pero al mismo tiempo muy (solar) [alegre],Substitution,Adjective,5E,Binary choice,to learn from my mistakes,4,1,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,8.33,4,1,useful,0,0,5.33,1,1,6,4,180
